"","Item","Suport","Confidence"
"1","{Instant food products}","79","1"
"2","{Instant food products,beef}","8","0.0155039"
"3","{Instant food products,bottled beer}","6","0.00757576"
"4","{Instant food products,bottled beer,whole milk}","6","0.00757576"
"5","{Instant food products,bottled water}","10","0.00919963"
"6","{Instant food products,bottled water,citrus fruit}","5","0.00459982"
"7","{Instant food products,bottled water,other vegetables}","6","0.00551978"
"8","{Instant food products,bottled water,rolls/buns}","5","0.00459982"
"9","{Instant food products,bottled water,root vegetables}","5","0.00459982"
"10","{Instant food products,bottled water,whole milk}","5","0.00459982"
"11","{Instant food products,brown bread}","7","0.00643974"
"12","{Instant food products,brown bread,hamburger meat}","5","0.00459982"
"13","{Instant food products,butter}","12","0.0110396"
"14","{Instant food products,butter,citrus fruit}","5","0.00459982"
"15","{Instant food products,butter,hamburger meat}","8","0.00735971"
"16","{Instant food products,butter,other vegetables}","7","0.00643974"
"17","{Instant food products,butter,other vegetables,whole milk}","5","0.00459982"
"18","{Instant food products,butter,soda}","5","0.00459982"
"19","{Instant food products,butter,whole milk}","7","0.00643974"
"20","{Instant food products,butter,yogurt}","6","0.00551978"
"21","{Instant food products,canned fish}","9","0.00827967"
"22","{Instant food products,canned fish,root vegetables}","5","0.00459982"
"23","{Instant food products,canned fish,whole milk}","6","0.00551978"
"24","{Instant food products,citrus fruit}","11","0.0101196"
"25","{Instant food products,citrus fruit,hamburger meat}","5","0.00459982"
"26","{Instant food products,citrus fruit,other vegetables}","6","0.00551978"
"27","{Instant food products,citrus fruit,root vegetables}","5","0.00459982"
"28","{Instant food products,citrus fruit,whole milk}","6","0.00551978"
"29","{Instant food products,citrus fruit,whole milk,yogurt}","5","0.00459982"
"30","{Instant food products,citrus fruit,yogurt}","6","0.00551978"
"31","{Instant food products,coffee}","5","0.00459982"
"32","{Instant food products,curd}","13","0.0119595"
"33","{Instant food products,curd,hamburger meat}","5","0.00459982"
"34","{Instant food products,curd,other vegetables}","5","0.00459982"
"35","{Instant food products,curd,whole milk}","7","0.00643974"
"36","{Instant food products,domestic eggs}","10","0.00919963"
"37","{Instant food products,domestic eggs,hamburger meat}","6","0.00551978"
"38","{Instant food products,frankfurter}","10","0.00919963"
"39","{Instant food products,frozen vegetables}","7","0.00643974"
"40","{Instant food products,frozen vegetables,root vegetables}","6","0.00551978"
"41","{Instant food products,fruit/vegetable juice}","9","0.00827967"
